code,system
L127000,readv2
L124z00,readv2
L124000,readv2
L124600,readv2
L124400,readv2
L414000,readv2
L124.00,readv2
L126000,readv2
L413000,readv2
L126300,readv2
L124100,readv2
L127100,readv2
L126200,readv2
L125200,readv2
Z254500,readv2
L126100,readv2
L125300,readv2
L127300,readv2
L125100,readv2
L123300,readv2
L124300,readv2
L123100,readv2
L413100,readv2
L124200,readv2
ZV27100,readv2
6332,readv2
L396100,readv2
Lyu5000,readv2
L396000,readv2
7F16900,readv2
7F17200,readv2
7F19.00,readv2
7F15000,readv2
7F13y00,readv2
7F13100,readv2
7F19y00,readv2
7F16000,readv2
L395z00,readv2
L395.00,readv2
7F14z00,readv2
L396.11,readv2
Lyu5500,readv2
L393100,readv2
Z254300,readv2
L395400,readv2
L393200,readv2
7F16y00,readv2
7F12z00,readv2
L143000,readv2
L398.00,readv2
L398000,readv2
Ly1..00,readv2
7F15y00,readv2
7F16100,readv2
7F1A.00,readv2
14Y4.00,readv2
Z254800,readv2
L396z00,readv2
L395.11,readv2
7F14000,readv2
L143.00,readv2
L395100,readv2
L20z.00,readv2
7F16700,readv2
L123200,readv2
L395000,readv2
L398300,readv2
7F13.00,readv2
Z254C00,readv2
7F14y00,readv2
L143100,readv2
7F17000,readv2
Lyu5400,readv2
Z257.15,readv2
7F17y00,readv2
L395.12,readv2
L398400,readv2
L395300,readv2
Lyu5700,readv2
L398500,readv2
7F17.00,readv2
7F17z00,readv2
7F17.11,readv2
L398100,readv2
L396.00,readv2
Z257.14,readv2
7F16200,readv2
7F15.00,readv2
7F15100,readv2
7F14.00,readv2
7F12.00,readv2
L395.13,readv2
7F16.00,readv2
L398z00,readv2
7F16600,readv2
7F16z00,readv2
7F19z00,readv2
7F13z00,readv2
L200.00,readv2
Z254B00,readv2
L127200,readv2
L20..00,readv2
14Y1.00,readv2
Z257.00,readv2
L142.11,readv2
7F16300,readv2
14Y5.00,readv2
L393000,readv2
7F12y00,readv2
Lyu5100,readv2
Lyu5200,readv2
7F12100,readv2
7F15z00,readv2
Z257.11,readv2
Ly0..00,readv2
Z257100,readv2
N000500,readv2
ZV27.12,readv2
6234,readv2
Q48D100,readv2
Q4z..15,readv2
Q48D.00,readv2
633..12,readv2
L125400,readv2
L125000,readv2
L125.00,readv2
L125z00,readv2
L112z00,readv2
L112200,readv2
Z262H00,readv2
Q021500,readv2
L265.11,readv2
Q022200,readv2
Z262300,readv2
63D4.00,readv2
L112.00,readv2
L11..00,readv2
Q021111,readv2
Q021.00,readv2
L112100,readv2
L267600,readv2
L112000,readv2
L112300,readv2
Q022000,readv2
Q021100,readv2
Z262I00,readv2
6358,readv2
6359,readv2
635B.00,readv2
Q116.00,readv2
635A.00,readv2
635..13,readv2
6356,readv2
Q11z.00,readv2
6352,readv2
6351,readv2
Q110.00,readv2
6357,readv2
Q11..11,readv2
L264.11,readv2
Q10..00,readv2
Q10..11,readv2
62O4.00,readv2
L41z500,readv2
L414.11,readv2
L413.11,readv2
L260200,readv2
L260.00,readv2
L260000,readv2
L265300,readv2
L260z00,readv2
L265311,readv2
L120100,readv2
L12z200,readv2
L120000,readv2
7F19100,readv2
L12zz00,readv2
L12z300,readv2
L12z000,readv2
L120400,readv2
L12z.00,readv2
L120.00,readv2
L120200,readv2
L12z100,readv2
L120300,readv2
L120z00,readv2
L12..00,readv2
Z248.00,readv2
L14..11,readv2
L126600,readv2
7F13300,readv2
14Y6.00,readv2
Q10z.11,readv2
Q10z.00,readv2
Q021011,readv2
Q021000,readv2
Z262E11,readv2
Z262E00,readv2
Z262C00,readv2
L440.11,readv2
L41yz00,readv2
L440.12,readv2
L41z.00,readv2
L16C000,readv2
Q13..00,readv2
Q11..00,readv2
Q111.00,readv2
Q113.00,readv2
L417000,readv2
L417100,readv2
L265200,readv2
L264200,readv2
14Y3.00,readv2
Z257.12,readv2
7F19000,readv2
Z257.13,readv2
Z254900,readv2
L20..11,readv2
L413200,readv2
L413.00,readv2
L413z00,readv2
ZV23400,readv2
L43z400,readv2
L124.11,readv2
L129.00,readv2
L126500,readv2
L126z00,readv2
L124500,readv2
L126.00,readv2
L398600,readv2
7F16400,readv2
L12A.00,readv2
Z254200,readv2
7F17100,readv2
L393.00,readv2
L395200,readv2
7F18z00,readv2
L127z00,readv2
7F18y00,readv2
L127.00,readv2
L12B.00,readv2
Q101.00,readv2
Q101.11,readv2
L123z00,readv2
L123600,readv2
L123400,readv2
L123.00,readv2
L123000,readv2
6232,readv2
L163300,readv2
L264.00,readv2
L264000,readv2
L264100,readv2
L264z00,readv2
7F13111,readv2
7F12111,readv2
L127400,readv2
L126400,readv2
L414200,readv2
L16C100,readv2
L16C.00,readv2
Z254A00,readv2
Q100.00,readv2
Q100.11,readv2
Q48D000,readv2
Z262D00,readv2
L02..00,readv2
L040.00,readv2
L04..00,readv2
7F13000,readv2
7F12000,readv2
L162.00,readv2
7F13200,readv2
14Y0.00,readv2
L398200,readv2
L140.00,readv2
14Y2.00,readv2
7F16500,readv2
7F17300,readv2
L265.00,readv2
Q211.00,readv2
Q210.00,readv2
L162.12,readv2
L414z00,readv2
L414.00,readv2
L142.00,readv2
L14..00,readv2